(1) 8092
(2) 266
(3) 35
(4) 91
(5) 2375
(6) 12/25
(7) 7
(8) 160309
(9) 12.25
*(10) 523887-579033
(11) 3381
(12) 16 3/5
(13) 2331
(14) 288
(15) 105
(16) 12
(17) 11
(18) 2100
(19) 11772
*(20) 401765-444055
(21) 28
(22) 630
(23) 112
(24) 1 2/3
(25) 2
(26) 1.55
(27) 92
(28) 44238
(29) 31
*(30) 99728-110224
(31) 4
(32) 6
(33) 132 4/25
(34) 70.00
(35) 32
(36) 2 16/117
(37) 66
(38) 10609
(39) 44
*(40) 2741-3029
(41) 440
(42) 124
(43) 1.353
(44) 12
(45) 510
(46) 42
(47) 360/11 or 32 8/11
(48) 7373
(49) 25
*(50) 2387-2637
(51) 84
(52) 10 10/17
(53) 56.25
(54) -12
(55) 189 1/9
(56) 3223
(57) 81
(58) 225
(59) 3
*(60) 140054-154795
(61) 32
(62) 2303
(63) 26/111
(64) 43
(65) 11
(66) 8450
(67) 5225
(68) 2542
(69) 24
*(70) 34414-38036
(71) 41
(72) 26
(73) 2
(74) 19
(75) 1260
(76) 38
(77) 0
(78) 2
(79) 8/3 or 2 2/3
*(80) 580-640
