(1) 93
(2) 1580
(3) 19/50
(4) 5.55
(5) 4800
(6) 12 1/2
(7) 406
(8) 75
(9) 5/16
*(10) 851-939
(11) 70
(12) 3025
(13) 30
(14) 3 5/6
(15) 2516
(16) 15
(17) 1 1/3
(18) 7224
(19) 83
*(20) 2616-2890
(21) 8372
(22) 14
(23) 49
(24) 30 15/64
(25) 15
(26) 7/16
(27) -7
(28) .81
(29) 2 4/99
*(30) 1519-1677
(31) 5328
(32) 7
(33) 361
(34) 529
(35) 28
(36) -7/33
(37) 68
(38) 216
(39) 8
*(40) 32-34
(41) 40
(42) 13
(43) 15
(44) 105
(45) 726
(46) .275
(47) 990021
(48) 115
(49) 1110
*(50) 25194-27846
(51) 2
(52) 11101101
(53) 2
(54) 1
(55) 75
(56) 75
(57) 1013042
(58) 241/3375
(59) 136
*(60) 2730-3016
(61) 7
(62) 4463
(63) -4
(64) 13/20
(65) 35
(66) 16
(67) 300
(68) 21
(69) 2666
*(70) 7587-8385
(71) 224
(72) 132
(73) 4
(74) 396
(75) 27
(76) 12
(77) 15/16
(78) 631
(79) 49
*(80) 10474-11576
