(1) 2099
(2) -200
(3) 1100
(4) 13/50
(5) 3036
(6) 1 3/14
(7) 8 1/3
(8) 135
(9) 280
*(10) 2275-2513
(11) 8554
(12) 1649
(13) 100
(14) 11978
(15) 8091
(16) 42 1/4
(17) 3021
(18) 42 5/36
(19) 2 5/9
*(20) 187-206
(21) 3325
(22) 122
(23) 6000
(24) 4212
(25) -5
(26) 313
(27) 5760
(28) 10296
(29) 35
*(30) 734-810
(31) 5858
(32) 3364
(33) 23/33
(34) 121
(35) 12.50
(36) 2
(37) 8
(38) -3/11
(39) 289
*(40) 41-45
(41) 3
(42) 60
(43) 22022
(44) 984064
(45) 25
(46) 1332
(47) 11/12
(48) 120
(49) 11
*(50) 544-600
(51) 120
(52) 5
(53) 824464
(54) 69819
(55) 32/33
(56) 49
(57) 91/729
(58) 166
(59) 255
*(60) 18345-20275
(61) 65
(62) 23/444
(63) 84
(64) 1/3
(65) 140
(66) 6 2/17
(67) 4921
(68) 50
(69) 102
*(70) 4264-4712
(71) 360
(72) 41 1/9
(73) 27
(74) 3
(75) 202
(76) 7837
(77) 4
(78) 253
(79) 157.5 or 157 1/2 or 315/2
*(80) 878-969
