(1) 685
(2) 248
(3) 9/10
(4) 17/25
(5) 700
(6) 289
(7) 7 2/3
(8) 60
(9) 37.5
*(10) 1390-1536
(11) 3 1/2
(12) 8928
(13) 300
(14) 3024
(15) 20
(16) 6/11
(17) 130
(18) 5525
(19) 22
*(20) 65459-72349
(21) 150
(22) 11021
(23) 14
(24) 4/11
(25) 117
(26) 13
(27) 1 11/24
(28) 2.10
(29) 2 4/63
*(30) 510-562
(31) 12.30
(32) 5217
(33) 600
(34) 10192
(35) 231
(36) 72
(37) 8
(38) 81
(39) 8
*(40) 1232-1360
(41) 212
(42) 121
(43) 79
(44) 8/25
(45) 700
(46) 60
(47) 3
(48) 78
(49) 384
*(50) 16302-18018
(51) 646416
(52) 24
(53) -19/420
(54) -2
(55) 10111011
(56) 11 12/19
(57) 991014
(58) 2
(59) 19/2 or 9 1/2 or 9.5
*(60) 30-32
(61) 61
(62) 441
(63) 19/2 or 9 1/2 or 9.5
(64) 48
(65) 11/36
(66) 22
(67) 112
(68) -5
(69) 4888
*(70) 592-653
(71) 12
(72) 2102
(73) -42
(74) 1/32
(75) 803
(76) 225
(77) 29
(78) 39
(79) 1261
*(80) 875885-968083
