(1) 6066
(2) 302
(3) 630
(4) 14/25
(5) .875
(6) 3000
(7) 50304
(8) 169
(9) 180
*(10) 1282-1416
(11) 1591
(12) 2925
(13) 2024
(14) 20
(15) 8924
(16) 2 3/14
(17) 41
(18) 34
(19) 11556
*(20) 19069-21075
(21) 30 12/49
(22) 123
(23) 2890
(24) 98
(25) 6
(26) 21/32
(27) 35
(28) 59 1/28
(29) 8/11
*(30) 1223-1351
(31) 3774
(32) 10094
(33) 1331
(34) 4
(35) -1/4 or -.25
(36) 90
(37) 44
(38) 289
(39) 120
*(40) 61-67
(41) 36
(42) 2808
(43) 91
(44) 79
(45) 1/6
(46) 216
(47) 150
(48) 13
(49) 10
*(50) 25394-28066
(51) 14 20/23
(52) 993012
(53) 88
(54) 258064
(55) -13/290
(56) 57
(57) 8
(58) 8.19
(59) 11011
*(60) 501-552
(61) 51
(62) 3939
(63) 1/6
(64) 10
(65) -13
(66) 400
(67) 2
(68) 45
(69) 16
*(70) 1881-2079
(71) 24
(72) 397
(73) 1032
(74) 16
(75) 40404
(76) 13
(77) 480
(78) -75
(79) 7 1/7 or 50/7
*(80) 60192-66528
