(1) 10095
(2) 432
(3) 151716
(4) 12100
(5) 836
(6) 6
(7) 598
(8) 729
(9) 96
*(10) 77797-85985
(11) 3025
(12) 68/77
(13) 75
(14) 5.6
(15) 1331
(16) 11/120
(17) 5040
(18) 2/15
(19) 6993
*(20) 85500-94499
(21) 3240
(22) 93
(23) 50197
(24) 130
(25) 2
(26) 140
(27) 441
(28) 4
(29) 12
*(30) 76167-84184
(31) 256
(32) 3434
(33) 11
(34) 221
(35) 5 3/4
(36) 26
(37) 720
(38) 603
(39) 3 16/21
*(40) 2660-2939
(41) 83
(42) 156
(43) 960
(44) 8458
(45) 4/11
(46) 92
(47) 165
(48) -20
(49) 900
*(50) 20592-22758
(51) 1380
(52) 21 12/29
(53) 721
(54) 9
(55) 7
(56) 42
(57) 95
(58) 179
(59) 3213
*(60) 82-90
(61) 5444
(62) 26
(63) 1/7
(64) -10
(65) 85
(66) 89
(67) 6
(68) 2
(69) 12
*(70) 14625-16163
(71) 96
(72) 10
(73) 7
(74) 2
(75) 14
(76) 94249
(77) 6
(78) 9
(79) 11/36
*(80) 1425-1573
