(1) 1306
(2) -10
(3) 1.25
(4) 5 1/3
(5) 60
(6) 3399
(7) 240
(8) 18
(9) 529
*(10) 1541-1703
(11) 2121
(12) 7216
(13) 10 2/15
(14) 12
(15) 1925
(16) 47
(17) 3481
(18) 4
(19) 53 1/25
*(20) 91-100
(21) 150
(22) 1752
(23) 42 3/16
(24) 9108
(25) 128
(26) 3232
(27) 2197
(28) 7
(29) 975
*(30) 614-677
(31) 1002
(32) 12
(33) 289
(34) 66
(35) 560
(36) 5
(37) 8
(38) 5/3 or 1 2/3
(39) 27
*(40) 28772-31799
(41) 25/156
(42) 18
(43) 225
(44) 165
(45) 9
(46) 12012
(47) .575
(48) 144
(49) 987040
*(50) 69-76
(51) 24
(52) 36
(53) 4134
(54) 3/110
(55) 90
(56) 5/12
(57) 1017072
(58) 96
(59) 18
*(60) 1916-2116
(61) 66
(62) 210
(63) 10
(64) 576
(65) -36
(66) 36.00
(67) 216
(68) -9
(69) 20
*(70)877345-969697
(71) 1/19
(72) 1777
(73) 1
(74) 169
(75) 288
(76) 6 3/16
(77) 455
(78) 72
(79) 1/26
*(80) 17572-19420
